,GEO_ID,NAME,S2801_C01_001E,S2801_C01_001M,S2801_C02_001E,S2801_C02_001M,S2801_C01_002E,S2801_C01_002M,S2801_C02_002E,S2801_C02_002M,S2801_C01_003E,S2801_C01_003M,S2801_C02_003E,S2801_C02_003M,S2801_C01_004E,S2801_C01_004M,S2801_C02_004E,S2801_C02_004M,S2801_C01_005E,S2801_C01_005M,S2801_C02_005E,S2801_C02_005M,S2801_C01_006E,S2801_C01_006M,S2801_C02_006E,S2801_C02_006M,S2801_C01_007E,S2801_C01_007M,S2801_C02_007E,S2801_C02_007M,S2801_C01_008E,S2801_C01_008M,S2801_C02_008E,S2801_C02_008M,S2801_C01_009E,S2801_C01_009M,S2801_C02_009E,S2801_C02_009M,S2801_C01_010E,S2801_C01_010M,S2801_C02_010E,S2801_C02_010M,S2801_C01_011E,S2801_C01_011M,S2801_C02_011E,S2801_C02_011M,S2801_C01_012E,S2801_C01_012M,S2801_C02_012E,S2801_C02_012M,S2801_C01_013E,S2801_C01_013M,S2801_C02_013E,S2801_C02_013M,S2801_C01_014E,S2801_C01_014M,S2801_C02_014E,S2801_C02_014M,S2801_C01_015E,S2801_C01_015M,S2801_C02_015E,S2801_C02_015M,S2801_C01_016E,S2801_C01_016M,S2801_C02_016E,S2801_C02_016M,S2801_C01_017E,S2801_C01_017M,S2801_C02_017E,S2801_C02_017M,S2801_C01_018E,S2801_C01_018M,S2801_C02_018E,S2801_C02_018M,S2801_C01_019E,S2801_C01_019M,S2801_C02_019E,S2801_C02_019M,S2801_C01_020E,S2801_C01_020M,S2801_C02_020E,S2801_C02_020M,S2801_C01_021E,S2801_C01_021M,S2801_C02_021E,S2801_C02_021M,S2801_C01_022E,S2801_C01_022M,S2801_C02_022E,S2801_C02_022M,S2801_C01_023E,S2801_C01_023M,S2801_C02_023E,S2801_C02_023M,S2801_C01_024E,S2801_C01_024M,S2801_C02_024E,S2801_C02_024M,S2801_C01_025E,S2801_C01_025M,S2801_C02_025E,S2801_C02_025M,S2801_C01_026E,S2801_C01_026M,S2801_C02_026E,S2801_C02_026M,S2801_C01_027E,S2801_C01_027M,S2801_C02_027E,S2801_C02_027M,S2801_C01_028E,S2801_C01_028M,S2801_C02_028E,S2801_C02_028M,S2801_C01_029E,S2801_C01_029M,S2801_C02_029E,S2801_C02_029M,S2801_C01_030E,S2801_C01_030M,S2801_C02_030E,S2801_C02_030M,S2801_C01_031E,S2801_C01_031M,S2801_C02_031E,S2801_C02_031M,zcta
17783,8600000US53214,ZCTA5 53214,15858,331,(X),(X),12881,426,81.2,2.2,10797,398,68.1,2.2,1652,229,10.4,1.4,10637,449,67.1,2.6,1196,242,7.5,1.5,7743,381,48.8,2.5,161,57,1.0,0.4,675,180,4.3,1.1,9,15,0.1,0.1,2977,354,18.8,2.2,11583,419,73.0,2.2,23,23,0.1,0.1,11560,417,72.9,2.2,8699,354,54.9,2.1,1406,197,8.9,1.2,9785,432,61.7,2.5,735,102,4.6,0.7,4275,361,27.0,2.2,3220,313,(X),(X),0,18,0.0,0.5,1438,244,44.7,6.5,1782,281,55.3,6.5,8655,410,(X),(X),23,23,0.3,0.3,6588,375,76.1,2.6,2044,245,23.6,2.6,3983,313,(X),(X),0,18,0.0,0.4,3534,280,88.7,3.6,449,156,11.3,3.6,53214
17784,8600000US53215,ZCTA5 53215,19135,473,(X),(X),14987,460,78.3,1.6,10939,466,57.2,2.4,1865,245,9.7,1.3,12243,486,64.0,2.0,2177,320,11.4,1.6,8049,466,42.1,2.2,220,79,1.1,0.4,1028,204,5.4,1.0,114,85,0.6,0.4,4148,332,21.7,1.6,12602,393,65.9,2.0,85,39,0.4,0.2,12517,410,65.4,2.0,8858,377,46.3,1.7,2189,286,11.4,1.5,9989,452,52.2,2.2,651,127,3.4,0.7,6533,458,34.1,2.0,4732,399,(X),(X),9,15,0.2,0.3,2071,250,43.8,3.9,2652,296,56.0,3.9,10962,443,(X),(X),64,36,0.6,0.3,7475,411,68.2,2.6,3423,315,31.2,2.5,3441,330,(X),(X),12,12,0.3,0.3,2971,299,86.3,3.3,458,130,13.3,3.4,53215
17785,8600000US53216,ZCTA5 53216,13133,313,(X),(X),11219,360,85.4,1.5,8402,373,64.0,2.4,958,158,7.3,1.2,9742,385,74.2,2.1,1591,242,12.1,1.8,6565,355,50.0,2.5,78,53,0.6,0.4,538,145,4.1,1.1,40,47,0.3,0.4,1914,202,14.6,1.5,9483,417,72.2,2.6,68,38,0.5,0.3,9415,408,71.7,2.6,7508,413,57.2,2.8,2146,291,16.3,2.2,6893,390,52.5,2.7,559,124,4.3,1.0,3650,352,27.8,2.6,3489,304,(X),(X),11,13,0.3,0.4,1998,284,57.3,5.8,1480,227,42.4,5.9,7077,433,(X),(X),37,34,0.5,0.5,5159,394,72.9,3.4,1881,269,26.6,3.5,2567,258,(X),(X),20,14,0.8,0.6,2258,236,88.0,3.0,289,82,11.3,2.9,53216
17786,8600000US53217,ZCTA5 53217,11717,229,(X),(X),10971,269,93.6,1.2,10595,275,90.4,1.4,993,155,8.5,1.3,9479,273,80.9,1.7,168,69,1.4,0.6,7686,289,65.6,2.2,49,30,0.4,0.3,436,105,3.7,0.9,21,22,0.2,0.2,746,136,6.4,1.2,10702,257,91.3,1.2,53,36,0.5,0.3,10649,261,90.9,1.2,8436,290,72.0,2.2,459,107,3.9,0.9,10034,271,85.6,1.5,405,89,3.5,0.8,1015,142,8.7,1.2,973,153,(X),(X),9,15,0.9,1.6,609,126,62.6,8.8,355,106,36.5,8.8,3199,253,(X),(X),33,27,1.0,0.8,2703,255,84.5,3.4,463,103,14.5,3.2,7545,274,(X),(X),11,17,0.1,0.2,7337,277,97.2,1.1,197,81,2.6,1.1,53217
17787,8600000US53218,ZCTA5 53218,14036,334,(X),(X),11684,352,83.2,1.9,8474,405,60.4,2.7,979,182,7.0,1.3,10185,394,72.6,2.3,1645,258,11.7,1.9,6874,406,49.0,2.6,175,100,1.2,0.7,769,171,5.5,1.2,20,32,0.1,0.2,2352,283,16.8,1.9,10285,359,73.3,2.0,63,37,0.4,0.3,10222,354,72.8,2.0,8018,370,57.1,2.3,1982,234,14.1,1.7,7928,358,56.5,2.1,546,134,3.9,0.9,3751,298,26.7,2.0,3436,351,(X),(X),26,24,0.8,0.7,1995,318,58.1,5.4,1415,205,41.2,5.4,7945,446,(X),(X),37,30,0.5,0.4,5943,405,74.8,3.0,1965,259,24.7,3.0,2655,291,(X),(X),0,18,0.0,0.7,2284,273,86.0,4.2,371,120,14.0,4.2,53218
17788,8600000US53219,ZCTA5 53219,14978,313,(X),(X),12387,356,82.7,2.0,10899,428,72.8,2.5,1711,206,11.4,1.4,10078,374,67.3,2.2,757,194,5.1,1.3,7393,409,49.4,2.8,171,95,1.1,0.6,712,185,4.8,1.2,0,18,0.0,0.1,2591,315,17.3,2.0,11499,361,76.8,2.2,94,47,0.6,0.3,11405,370,76.1,2.3,8649,364,57.7,2.3,1082,202,7.2,1.3,9963,431,66.5,2.7,690,140,4.6,1.0,3479,361,23.2,2.2,2564,368,(X),(X),5,9,0.2,0.4,1182,210,46.1,5.8,1377,259,53.7,5.7,7485,473,(X),(X),89,46,1.2,0.6,5632,370,75.2,2.9,1764,260,23.6,2.8,4929,379,(X),(X),0,18,0.0,0.4,4591,363,93.1,2.1,338,107,6.9,2.1,53219
17789,8600000US53220,ZCTA5 53220,11470,371,(X),(X),9874,414,86.1,2.2,8826,410,76.9,2.8,1569,193,13.7,1.7,7909,402,69.0,2.4,486,162,4.2,1.4,5817,304,50.7,2.3,41,33,0.4,0.3,448,154,3.9,1.3,0,16,0.0,0.2,1596,250,13.9,2.2,9196,383,80.2,2.3,129,55,1.1,0.5,9067,375,79.0,2.3,6220,362,54.2,2.7,884,203,7.7,1.7,7894,355,68.8,2.5,494,122,4.3,1.1,2274,272,19.8,2.3,1709,289,(X),(X),0,16,0.0,1.0,1052,248,61.6,8.8,657,174,38.4,8.8,6017,419,(X),(X),73,42,1.2,0.7,4657,370,77.4,3.2,1287,223,21.4,3.3,3744,276,(X),(X),56,37,1.5,1.0,3358,266,89.7,3.5,330,124,8.8,3.2,53220
17790,8600000US53221,ZCTA5 53221,15839,343,(X),(X),13350,404,84.3,1.6,11653,482,73.6,2.4,1739,243,11.0,1.5,10940,380,69.1,2.0,838,181,5.3,1.1,8075,424,51.0,2.7,148,74,0.9,0.5,392,114,2.5,0.7,15,16,0.1,0.1,2489,263,15.7,1.6,12142,450,76.7,2.2,118,54,0.7,0.3,12024,453,75.9,2.2,8373,442,52.9,2.4,1196,204,7.6,1.3,10482,521,66.2,2.8,722,154,4.6,1.0,3697,349,23.3,2.2,2609,308,(X),(X),22,21,0.8,0.8,1274,193,48.8,6.2,1313,251,50.3,6.4,8538,459,(X),(X),81,46,0.9,0.5,6373,431,74.6,3.3,2084,308,24.4,3.3,4692,343,(X),(X),15,16,0.3,0.3,4377,333,93.3,2.1,300,102,6.4,2.1,53221
17791,8600000US53222,ZCTA5 53222,11264,222,(X),(X),9479,308,84.2,2.3,8271,288,73.4,2.5,1148,162,10.2,1.4,7958,296,70.6,2.3,627,197,5.6,1.7,6214,333,55.2,2.8,48,31,0.4,0.3,264,79,2.3,0.7,0,16,0.0,0.2,1785,265,15.8,2.3,8893,302,79.0,2.5,69,35,0.6,0.3,8824,301,78.3,2.5,6687,290,59.4,2.6,938,227,8.3,2.0,7638,335,67.8,2.8,416,149,3.7,1.3,2371,292,21.0,2.5,1685,261,(X),(X),15,23,0.9,1.3,838,193,49.7,8.7,832,193,49.4,8.6,5358,380,(X),(X),50,31,0.9,0.6,3981,357,74.3,3.8,1327,220,24.8,3.8,4221,230,(X),(X),4,6,0.1,0.1,4005,222,94.9,2.2,212,96,5.0,2.2,53222
17792,8600000US53223,ZCTA5 53223,12180,350,(X),(X),10218,385,83.9,2.3,8365,391,68.7,2.9,1136,230,9.3,1.9,8315,418,68.3,3.1,1083,240,8.9,2.0,5902,420,48.5,3.1,208,116,1.7,0.9,562,200,4.6,1.6,24,26,0.2,0.2,1962,291,16.1,2.3,9063,421,74.4,2.8,43,41,0.4,0.3,9020,422,74.1,2.8,6823,425,56.0,3.1,1603,270,13.2,2.1,7102,425,58.3,3.1,510,165,4.2,1.4,3117,357,25.6,2.8,2656,345,(X),(X),0,16,0.0,0.7,1460,267,55.0,6.8,1196,235,45.0,6.8,6443,513,(X),(X),43,41,0.7,0.6,4737,471,73.5,3.8,1663,260,25.8,3.8,3081,317,(X),(X),0,16,0.0,0.6,2823,324,91.6,3.6,258,109,8.4,3.6,53223
17793,8600000US53224,ZCTA5 53224,8109,338,(X),(X),7031,347,86.7,3.0,5643,352,69.6,4.1,464,122,5.7,1.5,6173,368,76.1,3.3,669,236,8.3,2.9,4651,355,57.4,3.5,71,50,0.9,0.6,275,109,3.4,1.3,7,11,0.1,0.1,1078,253,13.3,3.0,6689,355,82.5,2.9,34,37,0.4,0.5,6655,351,82.1,2.9,5013,388,61.8,4.1,898,234,11.1,2.8,5597,374,69.0,3.8,506,168,6.2,2.0,1420,247,17.5,2.9,1448,296,(X),(X),0,16,0.0,1.2,971,236,67.1,9.8,477,176,32.9,9.8,4134,345,(X),(X),22,24,0.5,0.6,3395,343,82.1,4.2,717,181,17.3,4.2,2527,306,(X),(X),12,21,0.5,0.8,2289,274,90.6,4.1,226,110,8.9,4.0,53224
17794,8600000US53225,ZCTA5 53225,9701,323,(X),(X),8179,344,84.3,2.0,6271,365,64.6,3.1,652,127,6.7,1.3,7216,354,74.4,2.4,1013,245,10.4,2.4,5051,321,52.1,2.9,84,50,0.9,0.5,365,101,3.8,1.0,0,16,0.0,0.2,1522,199,15.7,2.0,7336,357,75.6,2.2,48,37,0.5,0.4,7288,366,75.1,2.2,5762,356,59.4,2.7,1239,267,12.8,2.6,5697,353,58.7,3.0,447,116,4.6,1.2,2365,206,24.4,2.2,2062,276,(X),(X),8,14,0.4,0.7,865,186,41.9,6.5,1189,199,57.7,6.5,5383,336,(X),(X),40,34,0.7,0.6,4362,310,81.0,3.0,981,167,18.2,2.8,2256,252,(X),(X),0,16,0.0,0.8,2061,242,91.4,3.2,195,76,8.6,3.2,53225
17795,8600000US53226,ZCTA5 53226,8180,232,(X),(X),7461,267,91.2,2.1,7166,256,87.6,2.1,997,160,12.2,2.0,6096,289,74.5,2.6,55,42,0.7,0.5,4962,321,60.7,3.3,44,37,0.5,0.4,269,79,3.3,0.9,17,20,0.2,0.2,719,172,8.8,2.1,6933,267,84.8,2.2,31,28,0.4,0.3,6902,263,84.4,2.1,5144,278,62.9,2.6,462,136,5.6,1.6,6236,275,76.2,2.6,391,94,4.8,1.2,1247,181,15.2,2.2,990,165,(X),(X),0,14,0.0,1.7,610,122,61.6,10.0,380,133,38.4,10.0,3286,249,(X),(X),25,26,0.8,0.8,2608,246,79.4,3.8,653,135,19.9,4.0,3904,234,(X),(X),6,10,0.2,0.2,3684,233,94.4,2.2,214,87,5.5,2.2,53226
17796,8600000US53227,ZCTA5 53227,11008,226,(X),(X),9553,297,86.8,2.0,8467,327,76.9,2.6,1410,249,12.8,2.2,7517,335,68.3,2.8,554,196,5.0,1.8,5738,281,52.1,2.4,60,40,0.5,0.4,324,102,2.9,0.9,0,16,0.0,0.2,1455,220,13.2,2.0,8653,291,78.6,2.3,24,18,0.2,0.2,8629,289,78.4,2.2,6136,325,55.7,2.9,841,223,7.6,2.0,7547,339,68.6,3.0,477,109,4.3,1.0,2355,259,21.4,2.3,1658,268,(X),(X),8,10,0.5,0.6,995,201,60.0,7.6,655,167,39.5,7.7,6025,391,(X),(X),9,11,0.1,0.2,4601,329,76.4,3.5,1415,245,23.5,3.5,3325,306,(X),(X),7,10,0.2,0.3,3033,287,91.2,3.0,285,106,8.6,3.0,53227
17797,8600000US53228,ZCTA5 53228,6339,234,(X),(X),5365,221,84.6,2.2,4934,224,77.8,2.7,810,129,12.8,2.0,4324,233,68.2,2.8,213,89,3.4,1.4,3322,253,52.4,3.6,25,23,0.4,0.4,247,96,3.9,1.5,10,15,0.2,0.2,974,148,15.4,2.2,5114,234,80.7,2.6,18,19,0.3,0.3,5096,231,80.4,2.5,3804,282,60.0,3.5,465,113,7.3,1.7,4522,220,71.3,2.6,221,85,3.5,1.3,1225,175,19.3,2.6,804,162,(X),(X),0,14,0.0,2.2,360,95,44.8,10.7,444,139,55.2,10.7,2811,200,(X),(X),18,19,0.6,0.7,2126,199,75.6,4.2,667,128,23.7,4.4,2724,210,(X),(X),0,14,0.0,0.6,2610,197,95.8,2.1,114,61,4.2,2.1,53228
17798,8600000US53233,ZCTA5 53233,4431,197,(X),(X),3213,215,72.5,3.7,2606,199,58.8,3.8,252,80,5.7,1.8,2865,211,64.7,3.8,353,121,8.0,2.6,1753,204,39.6,4.1,19,26,0.4,0.6,89,47,2.0,1.1,12,19,0.3,0.4,1218,172,27.5,3.7,2340,187,52.8,3.8,0,14,0.0,0.4,2340,187,52.8,3.8,1817,174,41.0,3.7,307,93,6.9,2.1,1977,197,44.6,4.1,128,58,2.9,1.3,2091,205,47.2,3.8,2682,198,(X),(X),0,14,0.0,0.6,1217,179,45.4,5.7,1465,187,54.6,5.7,1566,187,(X),(X),0,14,0.0,1.1,952,145,60.8,6.4,614,128,39.2,6.4,183,67,(X),(X),0,14,0.0,9.1,171,63,93.4,6.3,12,13,6.6,6.3,53233
17799,8600000US53235,ZCTA5 53235,4730,251,(X),(X),4045,280,85.5,4.5,3493,300,73.8,5.0,605,179,12.8,3.7,3140,264,66.4,5.1,309,138,6.5,2.9,2261,295,47.8,5.6,96,92,2.0,1.9,292,157,6.2,3.3,0,12,0.0,0.4,685,220,14.5,4.5,3652,291,77.2,5.0,25,39,0.5,0.8,3627,290,76.7,5.0,2363,307,50.0,6.1,562,173,11.9,3.6,3022,283,63.9,5.4,122,88,2.6,1.9,1078,248,22.8,5.0,975,226,(X),(X),0,12,0.0,1.8,499,170,51.2,15.1,476,194,48.8,15.1,2565,285,(X),(X),25,39,1.0,1.5,2051,267,80.0,6.4,489,175,19.1,6.3,1190,186,(X),(X),0,12,0.0,1.5,1077,177,90.5,7.3,113,91,9.5,7.3,53235
17800,8600000US53295,ZCTA5 53295,0,9,(X),(X),0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,-,**,0,9,(X),(X),0,9,-,**,0,9,-,**,0,9,-,**,0,9,(X),(X),0,9,-,**,0,9,-,**,0,9,-,**,0,9,(X),(X),0,9,-,**,0,9,-,**,0,9,-,**,53295
